u,g,r,i,z,y,redshift,mstar
26.7143,25.3619,24.1383,23.6885,23.4528,23.2366,0.45479,8.90972233432133
27.9734,26.3749,25.4513,24.806,24.6547,24.2745,0.631762,8.63299552417595
24.8853,24.3903,22.9765,21.9704,21.0974,20.7055,0.937543,11.4122689787988
27.7234,26.5082,25.9463,25.2234,24.6243,24.1977,1.66911,10.356591792992
28.514,28.8718,27.4146,25.3654,24.4916,23.586,1.42109,11.0179719037983
30.2852,28.5766,27.0408,26.268,25.8124,26.1625,0.955372,8.50213339390669
30.1789,27.2412,26.0579,24.8635,23.9733,23.1669,1.15492,10.6571151577458
99,27.7948,27.495,26.9605,28.3086,25.7405,1.13707,8.33416010099707
26.7391,26.9286,26.4447,26.2706,25.8369,25.9352,1.79522,9.74652911497967
27.2181,27.0553,26.6861,26.3837,25.5278,24.7618,1.15173,9.4459574103124
25.1577,24.3868,23.3058,22.7863,22.5651,22.1906,0.510667,9.37490041407568
99,28.3547,27.8389,26.6646,26.3028,25.6831,0.790945,8.04253613672214
23.9796,24.1532,24.202,24.119,24.1879,24.2763,0.783208,7.66233560555931
99,28.7393,27.2105,26.1385,25.6971,25.4071,0.820435,8.58058173603409
25.8803,25.1904,24.2996,23.5892,22.8921,22.5568,0.996184,10.2888883442654
27.1744,27.7175,27.4449,26.8645,26.6237,26.3767,1.8122,9.23815152598688
23.7799,22.9658,22.0585,21.6714,21.531,21.3109,0.544481,9.53191937477796
30.4818,30.381,27.2641,25.8829,25.2922,25.0355,0.835221,9.31259198164275
99,27.7767,28.0137,26.7092,26.4059,25.2978,1.52917,10.2433233484719
26.6587,26.2685,25.4896,24.4572,24.1415,24.0709,0.789669,9.36381873756418
27.0675,26.0291,24.4856,23.3253,22.9427,22.651,0.710949,9.98893423201792
29.6699,27.7286,27.1457,26.1001,25.0675,24.2601,1.24136,10.281710429549
29.5417,27.1059,25.9882,24.9773,24.2309,23.5129,1.16082,10.3388189184653
28.6704,27.5526,26.5451,25.7314,25.8038,25.3651,0.758736,8.58917521963173
27.4422,27.7219,26.9154,26.1267,25.3382,25.4736,0.979227,8.63134634624044
99,27.2276,26.8566,26.4125,26.0022,27.3157,0.34024,6.98111338190728
25.7198,25.4468,24.8678,24.1018,23.8399,23.6871,0.810178,9.05987757139908
24.65,24.0673,23.4161,23.2724,23.0188,23.0203,0.324381,8.32478438245535
25.6917,25.4631,24.9134,24.3326,23.6861,23.3914,1.07584,9.66308154363286
27.0002,26.1494,24.8895,24.0367,23.6891,23.3553,0.622467,9.47014724698481
27.5822,28.0183,26.6799,26.2354,26.0545,25.6764,0.452532,7.77181669259779
28.3912,27.7522,27.5623,26.8727,26.8238,25.8667,0.683538,7.71074591744941
99,29.0846,27.6939,26.7621,26.4734,27.0932,0.610004,8.04665121697092
99,27.1708,25.72,24.5451,23.879,23.6491,0.787421,9.93025605127651
29.8902,28.6352,27.3541,26.9476,26.0603,25.3998,1.16671,8.77500208263464
28.1208,27.4205,27.3795,26.9546,26.0794,26.5522,0.992045,8.14441540425256
27.0675,27.1357,26.0662,26.0603,25.8663,27.1059,0.439031,7.60309130097456
99,28.9422,27.7763,26.8154,25.3234,24.2851,1.91332,11.4288197258976
26.0989,25.4852,24.9439,24.8493,24.4577,24.7113,0.347002,7.64502119699622
23.7542,22.8563,21.8421,21.6036,21.3103,21.3249,0.36075,9.31125360476647
26.5268,26.984,26.277,25.0666,24.4074,23.6444,1.50475,11.02129269021
26.5295,25.6858,24.9775,24.6753,24.7577,24.2012,0.500028,8.08529771530342
23.0849,22.3647,21.5473,21.2398,21.1024,20.8931,0.523821,9.60883078851523
99,28.1649,27.5526,26.1784,25.5044,24.522,1.33492,10.3979851729497
28.4645,27.255,26.657,26.6335,26.3837,27.4891,0.352839,7.03460038497597
28.206,27.8784,26.8916,25.612,25.2645,24.78,0.666018,9.09681619526728
30.6683,28.2657,27.5878,26.9004,26.5986,26.8647,1.08311,8.34974751586295
